lat,lng,chainage_m
3.1600122,101.7181466,0.0
3.1600173,101.7180920,6.1
3.1600224,101.7180374,12.2
3.1600275,101.7179827,18.3
3.1600326,101.7179281,24.4
3.1600431,101.7178750,30.4
3.1600536,101.7178219,36.4
3.1600641,101.7177687,42.4
3.1600746,101.7177156,48.4
3.1600864,101.7176602,54.7
3.1600982,101.7176049,61.0
3.1601100,101.7175495,67.3
3.1601171,101.7175018,72.6
3.1601242,101.7174541,78.0
3.1601313,101.7174064,83.3
3.1601385,101.7173586,88.7
3.1601456,101.7173109,94.1
3.1601527,101.7172632,99.4
3.1601598,101.7172155,104.8
3.1601669,101.7171678,110.1
3.1601741,101.7171201,115.5
3.1601812,101.7170723,120.8
3.1601883,101.7170246,126.2
3.1601954,101.7169769,131.6
3.1601977,101.7169277,137.0
3.1602000,101.7168784,142.5
3.1602023,101.7168292,148.0
3.1602046,101.7167800,153.4
3.1602070,101.7167308,158.9
3.1602093,101.7166816,164.4
3.1602116,101.7166323,169.9
3.1602139,101.7165831,175.3
3.1602065,101.7165366,180.5
3.1601990,101.7164902,185.8
3.1601916,101.7164437,191.0
3.1601841,101.7163973,196.2
3.1601767,101.7163508,201.4
3.1601692,101.7163044,206.7
3.1601618,101.7162579,211.9
3.1601543,101.7162115,217.1
3.1601469,101.7161650,222.3
